Table Name,Column Name,Data Type,Nullable,Default Value,Description,Constraints,Index
skill_tree,updated_at,TIMESTAMPTZ,NULL,NOW(),수정 시각,,

rankings,id,UUID,NOT NULL,uuid_generate_v4(),랭킹 ID,PRIMARY KEY,
rankings,user_id,UUID,NOT NULL,,사용자 ID,FOREIGN KEY (users.id) ON DELETE CASCADE,
rankings,ranking_type,TEXT,NOT NULL,,랭킹 타입,CHECK (ranking_type IN ('global','season','category','hall_of_fame')),✓
rankings,rank,INTEGER,NOT NULL,,순위,,✓
rankings,points,INTEGER,NOT NULL,,포인트,,
rankings,season_id,TEXT,NULL,,시즌 ID (예: 2024-spring),,✓
rankings,category,TEXT,NULL,,카테고리 (카테고리별 랭킹),,
rankings,title,TEXT,NULL,,칭호 (예: Euler Master),,
rankings,snapshot_date,DATE,NOT NULL,CURRENT_DATE,스냅샷 날짜,,
rankings,created_at,TIMESTAMPTZ,NULL,NOW(),생성 시각,,

discussions,id,UUID,NOT NULL,uuid_generate_v4(),댓글 ID,PRIMARY KEY,
discussions,problem_id,UUID,NOT NULL,,문제 ID,FOREIGN KEY (problems.id) ON DELETE CASCADE,✓
discussions,user_id,UUID,NOT NULL,,작성자 ID,FOREIGN KEY (users.id) ON DELETE CASCADE,✓
discussions,parent_comment_id,UUID,NULL,,부모 댓글 ID (대댓글),FOREIGN KEY (discussions.id),
discussions,content,TEXT,NOT NULL,,댓글 내용,,
discussions,content_html,TEXT,NULL,,렌더링된 HTML (LaTeX 포함),,
discussions,upvotes,INTEGER,NULL,0,좋아요 수,,
discussions,downvotes,INTEGER,NULL,0,싫어요 수,,
discussions,is_solution_spoiler,BOOLEAN,NULL,false,스포일러 여부,,
discussions,is_pinned,BOOLEAN,NULL,false,고정 여부,,
discussions,created_at,TIMESTAMPTZ,NULL,NOW(),작성 시각,,✓
discussions,updated_at,TIMESTAMPTZ,NULL,NOW(),수정 시각,,

problem_relationships,id,UUID,NOT NULL,uuid_generate_v4(),관계 ID,PRIMARY KEY,
problem_relationships,source_problem_id,UUID,NOT NULL,,시작 문제 ID,FOREIGN KEY (problems.id) ON DELETE CASCADE,✓
problem_relationships,target_problem_id,UUID,NOT NULL,,대상 문제 ID,FOREIGN KEY (problems.id) ON DELETE CASCADE,✓
problem_relationships,relationship_type,TEXT,NOT NULL,,관계 타입,CHECK (relationship_type IN ('prerequisite','derived','related','next','alternative')),✓
problem_relationships,sequence_order,INTEGER,NULL,0,학습 경로 순서,,✓
problem_relationships,priority,INTEGER,NULL,0,추천 우선순위,,
problem_relationships,strength,NUMERIC(3,2),NULL,0.5,관계 강도 (0.00-1.00),,
problem_relationships,concept,TEXT,NULL,,연결 개념 (예: Quadratic Equations),,
problem_relationships,description,TEXT,NULL,,관계 설명,,
problem_relationships,is_ai_generated,BOOLEAN,NULL,false,AI 생성 관계 여부,,
problem_relationships,ai_confidence,NUMERIC(3,2),NULL,,AI 신뢰도,,
problem_relationships,is_approved,BOOLEAN,NULL,true,관리자 승인 여부,,✓
problem_relationships,approved_by,UUID,NULL,,승인자 ID,FOREIGN KEY (auth.users.id),
problem_relationships,success_rate,NUMERIC(5,2),NULL,,학습 성공률 (%),,
problem_relationships,created_at,TIMESTAMPTZ,NULL,NOW(),생성 시각,,
problem_relationships,updated_at,TIMESTAMPTZ,NULL,NOW(),수정 시각,,

ai_generated_problems_temp,id,UUID,NOT NULL,uuid_generate_v4(),임시 문제 ID,PRIMARY KEY,
ai_generated_problems_temp,parent_problem_id,UUID,NULL,,원본 문제 ID,FOREIGN KEY (problems.id),✓
ai_generated_problems_temp,title,TEXT,NOT NULL,,문제 제목,,
ai_generated_problems_temp,content,TEXT,NOT NULL,,문제 내용 (KaTeX),,
ai_generated_problems_temp,solution,TEXT,NULL,,문제 풀이 (KaTeX),,
ai_generated_problems_temp,difficulty,INTEGER,NULL,,난이도 (1-10),,
ai_generated_problems_temp,category_level1,TEXT,NULL,,카테고리 Level 1,,
ai_generated_problems_temp,category_level2,TEXT,NULL,,카테고리 Level 2,,
ai_generated_problems_temp,category_level3,TEXT,NULL,,카테고리 Level 3,,
ai_generated_problems_temp,concepts,TEXT[],NULL,,포함된 개념들,,
ai_generated_problems_temp,ai_model,TEXT,NULL,,AI 모델 (예: gpt-4o),,
ai_generated_problems_temp,generation_prompt,TEXT,NULL,,생성 프롬프트,,
ai_generated_problems_temp,ai_confidence,NUMERIC(3,2),NULL,,AI 신뢰도,,
ai_generated_problems_temp,review_status,TEXT,NULL,pending,검토 상태,CHECK (review_status IN ('pending','approved','rejected','needs_revision')),✓
ai_generated_problems_temp,reviewer_notes,TEXT,NULL,,검토자 메모,,
ai_generated_problems_temp,created_at,TIMESTAMPTZ,NULL,NOW(),생성 시각,,
ai_generated_problems_temp,reviewed_at,TIMESTAMPTZ,NULL,,검토 시각,,

